name,deliver_time,discount,deliver_way,category,sub_category,maker,price,profit,sell_count,label
"Fiskars 剪刀, 蓝色",3.727272727272727,0.14545454545454548,3.3636363636363638,1,1,1,108.05699855699855,-0.09454545454545454,4.454545454545454,0
"GlobeWeis 搭扣信封, 红色",4.25,0.0,3.5,1,2,2,62.604166666666664,0.34,2.75,2
"Cardinal 孔加固材料, 回收",4.0,0.16666666666666666,3.5,1,3,3,26.611507936507934,0.33416666666666667,4.333333333333333,2
"Kleencut 开信刀, 工业",2.25,0.30000000000000004,2.5,1,1,4,133.75,0.027499999999999986,2.75,1
"KitchenAid 搅拌机, 黑色",2.5714285714285716,0.1142857142857143,2.7142857142857144,1,4,5,458.60317460317464,0.2857142857142857,3.4285714285714284,2
"柯尼卡 打印机, 红色",4.5,0.1,4.0,2,5,6,1236.642857142857,0.23000000000000004,5.5,2
"Ibico 订书机, 实惠",3.5555555555555554,0.2222222222222222,3.2222222222222223,1,3,7,240.0,0.1211111111111111,2.6666666666666665,1
"SAFCO 扶手椅, 可调",4.125,0.1125,3.125,3,6,8,2164.9861111111113,0.18500000000000003,4.125,1
"Green Bar 计划信息表, 多色",4.0,0.0,4.0,1,7,9,117.63333333333333,0.08,4.0,1
"Stockwell 橡皮筋, 整包",4.6,0.08,3.8,1,8,10,76.80111111111111,0.082,3.2,1
"爱普生 计算器, 耐用",4.333333333333333,0.0,3.6666666666666665,2,5,11,217.04761904761904,0.01,4.0,1
"惠普 墨水, 红色",4.571428571428571,0.1142857142857143,3.7142857142857144,2,9,12,592.2857142857143,0.13000000000000003,3.142857142857143,1
"Jiffy 局间信封, 银色",4.428571428571429,0.0,4.0,1,2,13,227.96173469387756,0.13,4.571428571428571,1
"SanDisk 键区, 可编程",3.6666666666666665,0.0,3.6666666666666665,2,10,14,265.35555555555555,0.26,3.6666666666666665,2
"诺基亚 充电器, 蓝色",3.4,0.16,3.2,2,11,15,2968.3333333333335,0.33999999999999997,1.8,2
"KitchenAid 冰箱, 黑色",4.125,0.25,3.25,1,4,5,2461.070436507937,-0.17375,3.625,0
"Novimex 圆形标签, 红色",3.75,0.0,3.0,1,12,16,28.291666666666664,0.45,2.75,2
"Memorex 键盘, 实惠",4.166666666666667,0.13333333333333333,3.6666666666666665,2,10,17,332.9795574795575,0.34,4.5,2
